=== DIFFERENTIAL FUZZ ===
seed=0 pairs=500 div=0 soft=36 elapsed=0.0s
seed=1 pairs=500 div=0 soft=34 elapsed=1.0s
seed=2 pairs=500 div=0 soft=25 elapsed=2.6s
seed=3 pairs=500 div=0 soft=40 elapsed=3.5s
seed=4 pairs=500 div=0 soft=24 elapsed=4.8s
seed=5 pairs=500 div=0 soft=36 elapsed=6.2s
seed=6 pairs=500 div=0 soft=30 elapsed=7.5s
seed=7 pairs=500 div=0 soft=35 elapsed=8.8s
seed=8 pairs=500 div=0 soft=35 elapsed=9.9s
seed=9 pairs=500 div=0 soft=39 elapsed=11.4s
seed=10 pairs=500 div=0 soft=33 elapsed=13.1s
seed=11 pairs=500 div=0 soft=32 elapsed=14.3s
seed=12 pairs=500 div=0 soft=33 elapsed=15.4s
seed=13 pairs=500 div=0 soft=39 elapsed=16.2s
seed=14 pairs=500 div=0 soft=30 elapsed=17.3s
seed=15 pairs=500 div=0 soft=35 elapsed=18.8s
seed=16 pairs=500 div=0 soft=31 elapsed=19.9s
seed=17 pairs=500 div=0 soft=36 elapsed=21.1s
seed=18 pairs=500 div=0 soft=34 elapsed=22.3s
seed=19 pairs=500 div=0 soft=33 elapsed=23.1s
seed=20 pairs=500 div=0 soft=31 elapsed=24.2s
seed=21 pairs=500 div=0 soft=29 elapsed=25.1s
seed=22 pairs=500 div=0 soft=38 elapsed=26.1s
seed=23 pairs=500 div=0 soft=39 elapsed=27.3s
seed=24 pairs=500 div=0 soft=30 elapsed=28.7s
seed=25 pairs=500 div=0 soft=21 elapsed=29.5s
seed=26 pairs=500 div=0 soft=27 elapsed=30.7s
seed=27 pairs=500 div=0 soft=35 elapsed=31.7s
seed=28 pairs=500 div=0 soft=33 elapsed=33.4s
seed=29 pairs=500 div=0 soft=34 elapsed=36.0s
seed=30 pairs=500 div=0 soft=33 elapsed=37.6s
seed=31 pairs=500 div=0 soft=28 elapsed=38.4s
seed=32 pairs=500 div=0 soft=31 elapsed=40.0s
seed=33 pairs=500 div=0 soft=35 elapsed=41.1s
seed=34 pairs=500 div=0 soft=43 elapsed=42.8s
seed=35 pairs=500 div=0 soft=36 elapsed=44.2s
seed=36 pairs=500 div=0 soft=25 elapsed=45.2s
seed=37 pairs=500 div=0 soft=42 elapsed=46.2s
seed=38 pairs=500 div=0 soft=31 elapsed=47.4s
seed=39 pairs=500 div=0 soft=28 elapsed=48.6s
seed=40 pairs=500 div=0 soft=27 elapsed=49.7s
seed=41 pairs=500 div=0 soft=36 elapsed=50.8s
seed=42 pairs=500 div=0 soft=32 elapsed=52.0s
seed=43 pairs=500 div=0 soft=34 elapsed=53.1s
seed=44 pairs=500 div=0 soft=34 elapsed=54.1s
seed=45 pairs=500 div=0 soft=36 elapsed=55.7s
seed=46 pairs=500 div=0 soft=29 elapsed=56.7s
seed=47 pairs=500 div=0 soft=36 elapsed=57.9s
seed=48 pairs=500 div=0 soft=36 elapsed=59.9s
SUMMARY: duration=61.5s seeds=49 pairs=25000 hard_divergences=0 soft_msg_diffs=1619 anomalies=0 FUZZ_SURVIVOR=true
